QID,abstract
Q246648,"PH1b (standing for ""Planet Hunters 1""), or by its NASA designation Kepler-64b, is an extrasolar planet found in a circumbinary orbit in the quadruple star system Kepler-64. The planet was discovered by two amateur astronomers from the Planet Hunters project of amateur astronomers using data from the Kepler space telescope with assistance of a Yale University team of international astronomers. The discovery was announced on 15 October 2012. It is the first known transiting planet in a quadruple star system, first known circumbinary planet in a quadruple star system, and the first planet in a quadruple star system found. It was the first confirmed planet discovered by PlanetHunters.org."
Q1073944,"XO-4b is an extrasolar planet approximately 956 light years away in the constellation of Lynx. This planet was found by the transit method by McCullough in May 2008. The planet has mass 1.72 MJ and radius 1.34 RJ. This planet orbits very close to the F-type parent star, as it is typical for transiting planets, classing this planet as Hot Jupiter."
Q11394346,"Kepler-62f (also known by its Kepler Object of Interest designation KOI-701.04) is a super-Earth exoplanet orbiting within the habitable zone of the star Kepler-62, the outermost of five such planets discovered around the star by NASA's Kepler spacecraft. It is located about 990 light-years (304 parsecs) from Earth in the constellation of Lyra. Kepler-62f orbits its star at a distance of 0.718 AU (107,400,000 km; 66,700,000 mi) from its host star with an orbital period of roughly 267.3 days, has a mass at least 2.8x times that of Earth, and has a radius of around 1.41 times that of Earth. It is one of the more promising candidates for potential habitability, as its parent star is a relatively quiet star, and has less mass than the Sun – thus it can live up to a span of about 30 billion years or so. Due to its mass, Kepler-62f is likely a terrestrial or ocean-covered planet."
Q18819063,"Kepler-440b (also known by its Kepler Object of Interest designation KOI-4087.01) is a confirmed super-Earth exoplanet orbiting within the habitable zone of , about 850 light-years (261 pc) from Earth. The planet was discovered by NASA's Kepler spacecraft using the transit method, in which the dimming effect that a planet causes as it crosses in front of its star is measured. NASA announced the confirmation of the exoplanet on 6 January 2015."
Q18921090,"Kepler-296e (also known by its Kepler Object of Interest designation KOI-1422.05) is a confirmed Earth-sized exoplanet orbiting within the habitable zone of Kepler-296. The planet was discovered by NASA's Kepler spacecraft using the transit method, in which the dimming effect that a planet causes as it crosses in front of its star is measured. NASA announced the discovery of the exoplanet on 26 February 2014."
Q24026071,"TRAPPIST-1b, also designated as 2MASS J23062928-0502285 b, is a mainly rocky, Venus-like exoplanet orbiting around the ultra-cool dwarf star TRAPPIST-1, located approximately 40 light-years (12 parsecs) away from Earth in the constellation of Aquarius. The planet was detected using the transit method, where a planet dims the host star's light as it passes in front of it. It was first announced on May 2, 2016, and between 2017 and 2018, more studies were able to refine its physical parameters. The planet is about the same mass as Earth but about 12% larger. Its relatively low density, along with spectroscopic observations, has confirmed an extremely thick and hot atmosphere."
Q24055837,"TRAPPIST-1d, also designated as 2MASS J23062928-0502285 d, is a small exoplanet (about 30% the mass of the Earth), which orbits on the inner edge of the habitable zone of the ultracool dwarf star TRAPPIST-1 approximately 40 light-years (12.1 parsecs, or nearly 3.7336×1014 km) away from Earth in the constellation of Aquarius. The exoplanet was found by using the transit method, in which the dimming effect that a planet causes as it crosses in front of its star is measured. The first signs of the planet were announced in 2016, but it wasn't until the following years that more information concerning the probable nature of the planet was obtained. TRAPPIST-1d is the least massive planet of the system and is likely to have a compact hydrogen-poor atmosphere similar to Venus, Earth, or Mars. It receives just 4.3% more sunlight than Earth, placing it on the inner edge of the habitable zone."
Q24908933,"TRAPPIST-1c, also designated as 2MASS J23062928-0502285 c, is a mainly rocky, Venus-like exoplanet orbiting around the ultracool dwarf star TRAPPIST-1 approximately 40 light-years away from Earth in the constellation Aquarius. It is the most massive and third largest planet of the system, with about 116% the mass and 110% the radius of Earth. Its density indicates a primarily rocky composition with a very thick Venus-like atmosphere, although it is expected to be thinner than that of TRAPPIST-1b."
Q28822659,"TRAPPIST-1e, also designated as 2MASS J23062928-0502285 e, is a rocky, close-to-Earth-sized exoplanet orbiting within the habitable zone around the ultracool dwarf star TRAPPIST-1 approximately 40 light-years (12 parsecs; 380 trillion kilometers; 240 trillion miles) away from Earth in the constellation of Aquarius. Astronomers found the exoplanet by using the transit method, in which the dimming effect that a planet causes as it crosses in front of its star is measured. The exoplanet was one of seven new exoplanets discovered orbiting the star using observations from the Spitzer Space Telescope. Three of the seven (e, f, and g) are in the habitable zone. TRAPPIST-1e is similar to Earth's mass, radius, density, gravity, temperature, and stellar flux."
Q28822660,"TRAPPIST-1f, also designated as 2MASS J23062928-0502285 f, is an exoplanet, likely rocky but under a massive water-steam gaseous envelope at very high pressure and temperature, orbiting within the habitable zone around the ultracool dwarf star TRAPPIST-1 40 light-years (12 parsecs) away from Earth in the constellation of Aquarius. The exoplanet was found by using the transit method, in which the dimming effect that a planet causes as it crosses in front of its star is measured. It was one of four new exoplanets to be discovered orbiting the star using observations from the Spitzer Space Telescope. The planet is an eyeball planet candidate."
